Gia,Dien tich,Dia chi,Duong vao,Chieu ngang,Huong nha,Loai hinh dat
448 Triệu,170 m²,", Huyện Hòa Vang",Đường vào: Rộng 12m,Mặt tiền: 6m,NaN,Đất nền dự án
1.8 Tỷ,100 m²,", Quận Cẩm Lệ",NaN,NaN,NaN,Đất nền dự án
280 Triệu,85 m²,", Quận Ngũ Hành Sơn",Đường vào: Rộng 11.5m,Mặt tiền: 5m,NaN,Đất nền dự án
1.8 Tỷ,100 m²,", Quận Ngũ Hành Sơn",Đường vào: Rộng 17.5m,Mặt tiền: 6m,NaN,Đất nền dự án
448 Triệu,170 m²,", Huyện Hòa Vang",Đường vào: Rộng 12m,Mặt tiền: 6m,NaN,Đất nền dự án
1.4 Tỷ,85 m²,", Quận Ngũ Hành Sơn",Đường vào: Rộng 17.5m,Mặt tiền: 5m,NaN,Đất nền dự án
7 Tỷ,180 m²,", Quận Sơn Trà",Đường vào: Rộng 7.5m,Mặt tiền: 10m,Hướng: Đông nam,Đất nền dự án
1.4 Tỷ,85 m²,", Quận Ngũ Hành Sơn",Đường vào: Rộng 17.5m,Mặt tiền: 5m,Hướng: Đông,Đất nền dự án
2.9 Tỷ,100 m²,", Quận Liên Chiểu",NaN,NaN,Hướng: Đông Nam,Đất nền dự án
7.2 Tỷ,306 m²,", Quận Cẩm Lệ",Đường vào: Rộng 7.5m,NaN,Hướng: Tây Nam,Đất nền dự án
2.95 Tỷ,90 m²,", Quận Liên Chiểu",NaN,NaN,Hướng: Tây Bắc,Đất nền dự án
5.8 Tỷ,100 m²,", Quận Liên Chiểu",NaN,NaN,Hướng: Đông Nam,Đất nền dự án
9.25 Tỷ,125 m²,", Quận Liên Chiểu",NaN,NaN,Hướng: Đông Nam,Đất nền dự án
2.78 Tỷ,150 m²,", Quận Liên Chiểu",NaN,NaN,Hướng: Tây Nam,Đất nền dự án
4.43 Tỷ,94 m²,", Quận Liên Chiểu",NaN,NaN,Hướng: Đông Bắc,Đất nền dự án
2.85 Tỷ,75 m²,", Quận Liên Chiểu",NaN,NaN,Hướng: Đông Bắc,Đất nền dự án
65 Tỷ,640 m²,", Quận Liên Chiểu",NaN,NaN,Hướng: Tây Nam,Đất nền dự án
2.08 Tỷ,105 m²,", Quận Liên Chiểu",NaN,NaN,Hướng: Đông Nam,Đất nền dự án
1.4 Tỷ,85 m²,", Quận Ngũ Hành Sơn",Đường vào: Rộng 17.5m,Mặt tiền: 5m,NaN,Đất nền dự án
1.4 Tỷ,85 m²,", Quận Ngũ Hành Sơn",Đường vào: Rộng 17m,Mặt tiền: 5m,NaN,Đất nền dự án
4.05 Tỷ,121 m²,", Quận Liên Chiểu",Đường vào: Rộng 10m,Mặt tiền: 6m,Hướng: Nam,Đất nền dự án
1.3 Tỷ,100 m²,", Quận Ngũ Hành Sơn",NaN,NaN,NaN,Đất nền dự án
1.6 Tỷ,120 m²,", Quận Ngũ Hành Sơn",NaN,NaN,NaN,Đất nền dự án
1.4 Tỷ,85 m²,", Quận Ngũ Hành Sơn",NaN,NaN,NaN,Đất nền dự án
1.5 Tỷ,200 m²,", Quận Ngũ Hành Sơn",NaN,NaN,NaN,Đất nền dự án
1.35 Tỷ,85 m²,", Quận Ngũ Hành Sơn",Đường vào: Rộng 7.5m,Mặt tiền: 5m,Hướng: Đông Bắc,Đất nền dự án
